name,listing_urls,homepage_url,discovered_via
Hereford Triathlon Club,[],https://www.herefordtriathlonclub.co.uk/,racecheck.com
HUUB,[],https://huubdesign.com/,racecheck.com
Ironman,[],https://www.ironman.com/,racecheck.com
Mad Hatters,[],https://www.madhattersportsevents.co.uk/,racecheck.com
Mid Sussex Tri Club,[],https://www.midsussextriclub.com/,racecheck.com
Newbury Athletic Club,[],https://www.newburyac.org.uk/,racecheck.com
NYP Tri,[],https://www.nyptristars.co.uk/,racecheck.com
OSB Events,[],https://www.osbevents.com/,racecheck.com
Portsmouth Triathletes,[],https://portsmouthtriathletes.co.uk/,racecheck.com
Rough Runner,[],https://roughrunner.com/,racecheck.com
Run North West,[],https://www.runnorthwest.co.uk/,racecheck.com
See York Run York,[],https://www.seeyorkrunyork.co.uk/,racecheck.com
Sunderland Strollers,[],https://sunderlandstrollers.co.uk/,racecheck.com
SY Tri,[],https://sytri.org/,racecheck.com
Wilmslow Running Club,[],https://wilmslowrunningclub.co.uk/,racecheck.com
York Knavesmire Harriers,[],https://www.yorkknavesmireharriers.co.uk/,racecheck.com
Spartan Race,[],https://uk.spartan.com/,racecheck.com
Rock 'n' Roll Running Series,[],https://www.runrocknroll.com/,racecheck.com
Threshold Sports,[],https://www.thresholdsports.co.uk/,racecheck.com
Rat Race Events,[],https://www.ratrace.com/,racecheck.com
White Star Running,[],https://whitestarrunning.co.uk/,racecheck.com
Centurion Running,[],https://www.centurionrunning.com/,racecheck.com
Let’s Do This,[],https://www.letsdothis.com/,racecheck.com
Challenge Family,[],https://www.challenge-family.com/,racecheck.com
XTERRA,[],https://www.xterraplanet.com/,racecheck.com
The Wolf Run,[],https://www.thewolfrun.com/,racecheck.com
Maverick Race,[],https://www.maverick-race.com/,racecheck.com
Wild Deer Events,[],https://www.wilddeerevents.co.uk/,racecheck.com
